author_id,first_year,membership,degree_overall,degree_active,degree_backbone
author_60849,2014,Backbone,20,15,2
author_12825,2008,Backbone,19,15,2
author_9455,2007,Backbone,18,15,2
author_144215,2021,Backbone,18,15,2
author_71977,2015,Backbone,16,15,2
author_131445,2020,Backbone,42,14,2
author_677,2006,Backbone,29,14,2
author_145469,2021,Backbone,27,14,2
author_26653,2010,Backbone,27,14,2
author_131389,2020,Backbone,24,14,2
author_60948,2014,Backbone,21,14,2
author_91483,2017,Backbone,20,14,2
author_79276,2015,Backbone,20,14,2
author_39255,2011,Backbone,20,14,2
author_23464,2009,Backbone,19,14,2
author_9271,2007,Backbone,19,14,2
author_56547,2013,Backbone,19,14,2
author_138431,2020,Backbone,78,13,2
author_171391,2022,Backbone,28,13,2
author_60154,2014,Backbone,27,13,2
author_28854,2010,Backbone,26,13,2
author_9784,2007,Backbone,23,13,2
author_70660,2015,Backbone,22,13,2
author_30582,2010,Backbone,22,13,2
author_87717,2016,Backbone,22,13,2
author_132280,2021,Backbone,22,13,2
author_139745,2020,Backbone,21,13,2
author_197962,2024,Backbone,18,13,2
author_37211,2011,Backbone,17,13,2
author_111060,2018,Backbone,16,13,2
author_36211,2011,Backbone,15,13,2
author_26672,2010,Backbone,14,13,2
author_52188,2013,Backbone,13,13,2
author_23737,2009,Backbone,33,12,2
author_128083,2020,Backbone,32,12,2
author_85398,2016,Backbone,26,12,2
author_78771,2015,Backbone,26,12,2
author_38482,2011,Backbone,22,12,2
author_23042,2009,Backbone,21,12,2
author_90530,2016,Backbone,20,12,2
author_23040,2009,Backbone,20,12,2
author_71189,2015,Backbone,20,12,2
author_75038,2015,Backbone,20,12,2
author_103601,2018,Backbone,19,12,2
author_56345,2013,Backbone,19,12,2
author_36895,2011,Backbone,19,12,2
author_118180,2019,Backbone,19,12,2
author_122086,2019,Backbone,19,12,2
author_21670,2009,Backbone,18,12,2
author_90223,2016,Backbone,17,12,2
author_62774,2014,Backbone,16,12,2
author_90222,2016,Backbone,16,12,2
author_90689,2016,Backbone,14,12,2
author_62257,2014,Backbone,13,12,2
author_90688,2016,Backbone,12,12,2
author_22408,2009,Backbone,38,11,2
author_132729,2020,Backbone,23,11,2
author_152010,2021,Backbone,22,11,2
author_132116,2020,Backbone,22,11,2
author_151078,2021,Backbone,20,11,2
author_12861,2008,Backbone,19,11,2
author_56390,2013,Backbone,18,11,2
author_183657,2023,Backbone,18,11,2
author_71096,2015,Backbone,17,11,2
author_72141,2015,Backbone,17,11,2
author_44170,2012,Backbone,16,11,2
author_79274,2015,Backbone,16,11,2
author_4199,2006,Backbone,16,11,2
author_17484,2008,Backbone,15,11,2
author_149262,2021,Backbone,14,11,2
author_19394,2009,Backbone,14,11,2
author_14191,2008,Backbone,14,11,2
author_95189,2017,Backbone,14,11,2
author_65349,2014,Backbone,13,11,2
author_21671,2009,Backbone,13,11,2
author_112254,2018,Backbone,12,11,2
author_102839,2017,Backbone,12,11,2
author_7711,2007,Backbone,12,11,2
author_32736,2011,Backbone,30,10,2
author_136951,2020,Backbone,27,10,2
author_56597,2013,Backbone,25,10,2
author_12840,2008,Backbone,25,10,2
author_33307,2011,Backbone,21,10,2
author_166885,2022,Backbone,19,10,2
author_95316,2017,Backbone,18,10,2
author_64275,2014,Backbone,16,10,2
author_47412,2012,Backbone,15,10,2
author_122063,2019,Backbone,15,10,2
author_39977,2011,Backbone,14,10,2
author_159706,2022,Backbone,14,10,2
author_47345,2012,Backbone,14,10,2
author_19431,2009,Backbone,14,10,2
author_28091,2010,Backbone,14,10,2
author_114552,2019,Backbone,14,10,2
author_35338,2011,Backbone,14,10,2
author_34410,2011,Backbone,13,10,2
author_190594,2023,Backbone,13,10,2
author_55507,2013,Backbone,13,10,2
author_119357,2019,Backbone,13,10,2
author_14173,2008,Backbone,11,10,2
author_68176,2014,Backbone,10,10,2
author_38746,2011,Backbone,10,10,2
author_68177,2014,Backbone,10,10,2
author_12680,2008,Backbone,33,9,2
author_138438,2020,Backbone,23,9,2
author_110052,2018,Backbone,22,9,2
author_140783,2020,Backbone,21,9,2
author_49238,2012,Backbone,18,9,2
author_57604,2013,Backbone,18,9,2
author_45461,2012,Backbone,18,9,2
author_208946,2024,Backbone,16,9,2
