Year,CommunityID,Size,Avg_Degree,Avg_Weighted_Degree,Avg_Citations_Per_Paper,Total_Citations,Paper_Count
2018,17,197,6.1726,4.8434,32.1752,18919,588
2018,18,23,2.8261,3.9783,21.5765,1834,85
2018,19,60,5.5333,5.9428,41.8186,8531,204
2018,20,71,3.3239,2.2663,33.3566,4770,143
2018,21,50,3.56,2.2392,18.973,2808,148
2018,22,46,4.7826,3.9917,28.4663,4640,163
2018,23,30,3.6667,3.9611,23.0617,1868,81
2018,24,18,2.7778,4.2,40.0182,2201,55
2018,25,176,4.5625,3.2915,21.3608,8288,388
2018,26,59,3.6271,2.8952,18.875,2416,128
2018,27,195,3.6,2.7437,74.327,31143,419
2018,28,25,4.68,3.2162,64.2453,3405,53
2018,29,43,4.4419,2.812,69.2917,6652,96
2018,30,9,2.8889,2.8,14.5333,218,15
2018,31,75,4.7467,2.5667,53.5897,6270,117
2018,32,57,5.8772,2.5128,42.5875,3407,80
2018,33,77,3.8961,2.8001,71.0056,12639,178
2018,34,152,4.5855,3.671,112.7623,43639,387
2018,35,25,3.2,2.55,38.6515,2551,66
2018,36,70,4.4571,4.532,26.922,5519,205
2018,37,279,4.7921,3.3194,67.7098,39204,579
2018,38,72,4.2778,3.09,105.2061,17359,165
2018,39,171,4.538,3.3212,96.9805,44805,462
2018,40,13,4.0769,5.1538,21.0882,717,34
2018,41,190,4.1053,3.0924,67.0323,29025,433
2018,42,98,4.9286,3.303,83.6749,16986,203
2018,43,63,4.5397,2.4545,44.3571,4968,112
2018,44,79,4.4684,2.961,103.8827,16829,162
2018,45,13,2.7692,1.8974,77.8571,1635,21
2018,46,260,5.5231,5.705,69.0778,63897,925
2018,47,196,6.6531,4.179,81.6947,36926,452
2018,48,429,12.8089,2.3324,56.069,26016,464
2018,49,50,4.88,3.9214,115.697,15272,132
2018,50,47,4.0,4.1394,30.1212,3976,132
2018,51,62,3.8226,2.7927,98.7465,14022,142
2018,52,41,4.6829,3.6215,57.0633,4508,79
2018,53,38,3.1842,2.3347,67.4505,6138,91
2018,54,15,2.8,1.8378,20.4483,593,29
2018,55,86,5.1512,2.8622,140.2787,25671,183
2018,56,48,3.875,2.1741,44.52,3339,75
2018,57,27,2.7778,1.8759,63.2571,4428,70
2018,58,99,4.2525,3.3176,92.1917,22126,240
2018,59,79,3.7722,2.9259,66.2609,12192,184
2018,60,45,3.8,2.6741,50.6136,4454,88
2018,61,37,3.6486,2.7937,91.0286,6372,70
2018,62,37,4.2162,1.5529,47.9298,2732,57
